年度,区分,区分2,基金名,区分3,金額（億円）
2019,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2019年度末残高（当初）,"2,193"
2019,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2018年度最終補正後残高,0
2019,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2019年度取崩額（当初）,0
2019,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2019年度末残高（当初）,0
2019,国の交付金等により積み立てた基金,その他基金,その他基金,2018年度最終補正後残高,"1,362"
2019,国の交付金等により積み立てた基金,その他基金,その他基金,2019年度取崩額（当初）,-264
2019,国の交付金等により積み立てた基金,その他基金,その他基金,2019年度末残高（当初）,"1,299"
2019,財源として活用可能な基金,財政調整基金,財政調整基金,2018年度最終補正後残高,"8,428"
2019,財源として活用可能な基金,財政調整基金,財政調整基金,2019年度取崩額（当初）,0
2019,財源として活用可能な基金,財政調整基金,財政調整基金,2019年度末残高（当初）,"8,470"
2019,合計,合計,合計,2018年度最終補正後残高,"24,567"
2019,合計,合計,合計,2019年度取崩額（当初）,"-5,841"
2019,合計,合計,合計,2019年度末残高（当初）,"19,090"
2018,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2017年度最終補正後残高,"2,331"
2018,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2018年度取崩額（当初）,-994
2018,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2018年度末残高（当初）,"1,338"
2018,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2017年度最終補正後残高,631
2018,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2018年度取崩額（当初）,-145
2018,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2018年度末残高（当初）,487
2018,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2017年度最終補正後残高,0
2018,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2018年度取崩額（当初）,0
2018,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2018年度末残高（当初）,0
2018,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2017年度最終補正後残高,"4,247"
2018,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2018年度取崩額（当初）,-906
2018,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2018年度末残高（当初）,"3,394"
2018,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2017年度最終補正後残高,85
2018,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2018年度取崩額（当初）,-32
2018,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2018年度末残高（当初）,53
2018,３つのシティ実現に向けた基金,スマート シティ,水素社会・スマートエネルギー都市づくり推進基金,2017年度最終補正後残高,333
2018,３つのシティ実現に向けた基金,スマート シティ,水素社会・スマートエネルギー都市づくり推進基金,2018年度取崩額（当初）,-33
2018,３つのシティ実現に向けた基金,スマート シティ,水素社会・スマートエネルギー都市づくり推進基金,2018年度末残高（当初）,299
2018,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2017年度最終補正後残高,118
2018,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2018年度取崩額（当初）,-49
2018,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2018年度末残高（当初）,70
