年度,区分,区分2,基金名,区分3,金額（億円）
2022,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2022年度末残高,0
2022,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2020年度末残高（決算）,0
2022,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2021年度末残高（決算）,0
2022,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2022年度積立額,0
2022,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2022年度取崩額,0
2022,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2022年度末残高,0
2022,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2020年度末残高（決算）,"4,290"
2022,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2021年度末残高（決算）,"1,780"
2022,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2022年度積立額,4
2022,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2022年度取崩額,"-1,785"
2022,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2022年度末残高,0
2022,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金（仮称）,2020年度末残高（決算）,0
2022,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金（仮称）,2021年度末残高（決算）,0
2022,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金（仮称）,2022年度積立額,"1,485"
2022,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金（仮称）,2022年度取崩額,0
2022,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金（仮称）,2022年度末残高,"1,485"
2022,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2020年度末残高（決算）,1
2022,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2021年度末残高（決算）,0
2022,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2022年度積立額,0
2022,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2022年度取崩額,0
2022,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2022年度末残高,0
2022,国の交付金等により積み立てた基金,その他基金,その他基金,2020年度末残高（決算）,"1,348"
2022,国の交付金等により積み立てた基金,その他基金,その他基金,2021年度末残高（決算）,"1,326"
2022,国の交付金等により積み立てた基金,その他基金,その他基金,2022年度積立額,332
2022,国の交付金等により積み立てた基金,その他基金,その他基金,2022年度取崩額,-288
2022,国の交付金等により積み立てた基金,その他基金,その他基金,2022年度末残高,"1,371"
2022,財政調整基金,財政調整基金,財政調整基金,2020年度末残高（決算）,"5,327"
2022,財政調整基金,財政調整基金,財政調整基金,2021年度末残高（決算）,"7,272"
2022,財政調整基金,財政調整基金,財政調整基金,2022年度積立額,"2,041"
2022,財政調整基金,財政調整基金,財政調整基金,2022年度取崩額,"-3,650"
2022,財政調整基金,財政調整基金,財政調整基金,2022年度末残高,"5,664"
2022,合計,合計,合計,2020年度末残高（決算）,"22,417"
2022,合計,合計,合計,2021年度末残高（決算）,"21,872"
2022,合計,合計,合計,2022年度積立額,"9,524"
2022,合計,合計,合計,2022年度取崩額,"-9,865"
2022,合計,合計,合計,2022年度末残高,"21,534"
2021,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2019年度末残高（決算）,"2,304"
2021,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2020年度末残高（決算）,"2,304"
2021,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2021年度取崩額,0
2021,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2021年度末残高,"2,304"
2021,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2019年度末残高（決算）,405
2021,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2020年度末残高（決算）,297
2021,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2021年度取崩額,-111
2021,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2021年度末残高,187
2021,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2019年度末残高（決算）,0
2021,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2020年度末残高（決算）,1
2021,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2021年度取崩額,0
2021,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2021年度末残高,0
2021,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2019年度末残高（決算）,"5,712"
2021,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2020年度末残高（決算）,"4,865"
2021,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2021年度取崩額,-5
2021,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2021年度末残高,"4,894"
2021,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2019年度末残高（決算）,28
2021,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2020年度末残高（決算）,21
2021,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2021年度取崩額,-5
2021,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2021年度末残高,16
2021,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2019年度末残高（決算）,53
2021,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2020年度末残高（決算）,29
2021,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2021年度取崩額,-14
2021,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2021年度末残高,15
2021,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2019年度末残高（決算）,691
2021,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2020年度末残高（決算）,760
2021,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2021年度取崩額,-2
